Code,Description,Type
M2,MISSION HOUSE (NON-RESIDENTIAL),RELIGIOUS FACILITIES
M3,"PARSONAGE, RECTORY",RELIGIOUS FACILITIES
M4,CONVENT,RELIGIOUS FACILITIES
M9,MISCELLANEOUS RELIGIOUS FACILITY,RELIGIOUS FACILITIES
N,ASYLUMS AND HOMES,ASYLUMS AND HOMES
N1,ASYLUM,ASYLUMS AND HOMES
N2,"HOME FOR INDIGENT CHILDREN, AGED, HOMELESS",ASYLUMS AND HOMES
N3,ORPHANAGE,ASYLUMS AND HOMES
N4,DETENTION HOUSE FOR WAYWARD GIRLS,ASYLUMS AND HOMES
N9,"MISCELLANEOUS ASYLUM, HOME",ASYLUMS AND HOMES
O,OFFICE BUILDINGS,OFFICE BUILDINGS
O1,OFFICE ONLY - 1 STORY,OFFICE BUILDINGS
O2,OFFICE ONLY 2 - 6 STORIES,OFFICE BUILDINGS
O3,OFFICE ONLY 7 - 19 STORIES,OFFICE BUILDINGS
O4,OFFICE ONLY WITH OR WITHOUT COMM - 20 STORIES OR MORE,OFFICE BUILDINGS
O5,OFFICE WITH COMM - 1 TO 6 STORIES,OFFICE BUILDINGS
O6,OFFICE WITH COMM 7 - 19 STORIES,OFFICE BUILDINGS
O7,PROFESSIONAL BUILDINGS/STAND ALONE FUNERAL HOMES,OFFICE BUILDINGS
O8,OFFICE WITH APARTMENTS ONLY (NO COMM),OFFICE BUILDINGS
O9,MISCELLANEOUS AND OLD STYLE BANK BLDGS.,OFFICE BUILDINGS
P,INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES,INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
P1,CONCERT HALL,INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
P2,LODGE ROOM,INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
P3,"YWCA, YMCA, YWHA, YMHA, PAL",INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
P4,BEACH CLUB,INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
P5,COMMUNITY CENTER,INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
P6,"AMUSEMENT PLACE, BATH HOUSE, BOAT HOUSE",INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
P7,MUSEUM,INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
P8,LIBRARY,INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
P9,MISCELLANEOUS INDOOR PUBLIC ASSEMBLY,INDOOR PUBLIC ASSEMBLY & CULT. FACILITIES
Q,OUTDOOR RECREATIONAL FACILITIES,OUTDOOR RECREATIONAL FACILITIES
Q1,PARKS/RECREATION FACILTY,OUTDOOR RECREATIONAL FACILITIES
Q2,PLAYGROUND,OUTDOOR RECREATIONAL FACILITIES
Q3,OUTDOOR POOL,OUTDOOR RECREATIONAL FACILITIES
Q4,BEACH,OUTDOOR RECREATIONAL FACILITIES
Q5,GOLF COURSE,OUTDOOR RECREATIONAL FACILITIES
Q6,"STADIUM, RACE TRACK, BASEBALL FIELD",OUTDOOR RECREATIONAL FACILITIES
Q7,TENNIS COURT,OUTDOOR RECREATIONAL FACILITIES
Q8,"MARINA, YACHT CLUB",OUTDOOR RECREATIONAL FACILITIES
Q9,MISCELLANEOUS OUTDOOR RECREATIONAL FACILITY,OUTDOOR RECREATIONAL FACILITIES
R,CONDOMINIUMS,CONDOMINIUMS
RA,"CULTURAL, MEDICAL, EDUCATIONAL, ETC.",CONDOMINIUMS
RB,OFFICE SPACE,CONDOMINIUMS
RG,INDOOR PARKING,CONDOMINIUMS
RH,HOTEL/BOATEL,CONDOMINIUMS
RK,RETAIL SPACE,CONDOMINIUMS
RP,OUTDOOR PARKING,CONDOMINIUMS
RR,CONDOMINIUM RENTALS,CONDOMINIUMS
RS,NON-BUSINESS STORAGE SPACE,CONDOMINIUMS
RT,TERRACES/GARDENS/CABANAS,CONDOMINIUMS
RW,WAREHOUSE/FACTORY/INDUSTRIAL,CONDOMINIUMS
R0,SPECIAL CONDOMINIUM BILLING LOT,CONDOMINIUMS
R1,CONDO; RESIDENTIAL UNIT IN 2-10 UNIT BLDG.,CONDOMINIUMS
R2,CONDO; RESIDENTIAL UNIT IN WALK-UP BLDG.,CONDOMINIUMS
R3,CONDO; RESIDENTIAL UNIT IN 1-3 STORY BLDG.,CONDOMINIUMS
R4,CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.,CONDOMINIUMS
R5,MISCELLANEOUS COMMERCIAL,CONDOMINIUMS
R6,CONDO; RESID.UNIT OF 1-3 UNIT BLDG-ORIG CLASS 1,CONDOMINIUMS
R7,CONDO; COMML.UNIT OF 1-3 UNIT BLDG-ORIG CLASS 1,CONDOMINIUMS
R8,CONDO; COMML.UNIT OF 2-10 UNIT BLDG.,CONDOMINIUMS
R9,CO-OP WITHIN A CONDOMINIUM,CONDOMINIUMS
S,PRIMARILY RES. - MIXED USE,PRIMARILY RES. - MIXED USE
S0,PRIMARILY 1 FAMILY WITH 2 STORES OR OFFICES,PRIMARILY RES. - MIXED USE
S1,PRIMARILY 1 FAMILY WITH 1 STORE OR OFFICE,PRIMARILY RES. - MIXED USE
S2,PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE,PRIMARILY RES. - MIXED USE
S3,PRIMARILY 3 FAMILY WITH 1 STORE OR OFFICE,PRIMARILY RES. - MIXED USE
S4,PRIMARILY 4 FAMILY WITH 1 STORE OROFFICE,PRIMARILY RES. - MIXED USE
S5,PRIMARILY 5-6 FAMILY WITH 1 STORE OR OFFICE,PRIMARILY RES. - MIXED USE
S9,SINGLE OR MULTIPLE DWELLING WITH STORES OR OFFICES,PRIMARILY RES. - MIXED USE
T,TRANSPORTATION FACILITIES,TRANSPORTATION FACILITIES
T1,"AIRPORT, AIRFIELD, TERMINAL",TRANSPORTATION FACILITIES
T2,"PIER, DOCK, BULKHEAD",TRANSPORTATION FACILITIES
T9,MISCELLANEOUS TRANSPORTATION FACILITY,TRANSPORTATION FACILITIES
U,UTILITY BUREAU PROPERTIES,UTILITY BUREAU PROPERTIES
U0,UTILITY COMPANY LAND AND BUILDING,UTILITY BUREAU PROPERTIES
